aoa,CL,CD,CL/CD,CS,CMx,CMy,CMz
-5.0,-0.15453704355004694,0.07123159945695164,-2.1695012428218803,-7.768148792593698e-14,-2.0670612455027392e-14,0.07941055291608876,-8.460405581052139e-15
-4.0,-0.11874723091855521,0.06534704788394423,-1.8171782010634854,-9.142715205373828e-14,-2.7649004234618088e-14,0.07992144484856849,-5.714666307852744e-15
-3.0,-0.0666673222043258,0.06006235949316219,-1.1099684189382462,-1.0224908367275583e-13,-3.3993286098038236e-14,0.0804463847593792,-4.544512266526162e-15
-2.0,-0.007575176492629127,0.05539554993069202,-0.13674702213637716,-1.1151470733574554e-13,-3.992868723662947e-14,0.08039688168363766,-2.5777440602681603e-15
-1.0,0.056497706486942995,0.051496757633287905,1.0971119170116923,-1.185171534194465e-13,-4.413366631235421e-14,0.07977247940758923,-2.691858383565141e-16
0.0,0.12386911403515853,0.04841479066086425,2.5584973588512745,-1.2537978282616973e-13,-4.810496114066702e-14,0.07846038051363517,1.5831594189836878e-15
1.0,0.1931012445032955,0.04616120886312611,4.183192972174221,-1.3223160547101415e-13,-5.169979379373752e-14,0.07640782153223072,3.5701458182553984e-15
2.0,0.26275114569394215,0.04477455067184075,5.868314516871064,-1.4059785147926323e-13,-5.5564403817604455e-14,0.07366648232176216,6.17832486552639e-15
3.0,0.33294277017947443,0.04430021987174736,7.5156008512682355,-1.5085259590650842e-13,-6.065306163183312e-14,0.07019365570033498,9.402845351819454e-15
4.0,0.4039741555583835,0.04466684300765912,9.044161806759282,-1.6114023047860192e-13,-6.54516242218949e-14,0.06578373220470805,1.271537557764875e-14
5.0,0.47493063172662353,0.045851350043861774,10.358051208357029,-1.7033550950526296e-13,-6.947584512932754e-14,0.06031945615283746,1.5608740772805474e-14
6.0,0.5448668352553864,0.0478060981495019,11.39743372386193,-1.7794615477767984e-13,-7.241550416760677e-14,0.05374311067997712,1.863913574360482e-14
7.0,0.6128506504298562,0.05044397160487322,12.14913558413491,-1.8354338620342158e-13,-7.437774586475946e-14,0.0459981249793634,2.1950997280589015e-14
8.0,0.678254001919336,0.05372923935494971,12.623554884866486,-1.8824412625243997e-13,-7.530732623465942e-14,0.037187665665591604,2.543157415695301e-14
9.0,0.7408989921400188,0.05763879280650232,12.854172616475008,-1.9200649033211175e-13,-7.575545063608526e-14,0.0273054092578904,2.9187753712706325e-14
10.0,0.8008438141666439,0.06200168475249983,12.916484727205011,-1.9488525060202128e-13,-7.59474157722333e-14,0.0162496237604512,3.189028539899139e-14
11.0,0.8584846568534379,0.0666788912002542,12.874909006437782,-1.96389874044716e-13,-7.477504991395752e-14,0.0039980227493631205,3.460742536466177e-14
12.0,0.9136454553010331,0.07170995944199081,12.740844680579121,-1.9746920777769822e-13,-7.305003844400591e-14,-0.009435329159966407,3.6930553287756126e-14
13.0,0.9666844467947997,0.07709650767162875,12.53862822051713,-1.9801907730136686e-13,-7.110075902292756e-14,-0.024265283994792053,3.7251523933405526e-14
14.0,0.9584004597484703,0.0942155048211756,10.1724282172828,-2.457197214976602e-13,-8.202734050232262e-14,-0.027981530715563845,6.158315637776775e-14
15.0,0.9519684004697686,0.10998827415566254,8.655180816115736,-3.9141527693743785e-13,-1.1241009261883123e-13,-0.03314547779616593,1.2159479109433675e-13
16.0,0.9871773201280156,0.11975842755521637,8.243071826179941,8.58662340328189e-12,4.4146973348965785e-12,-0.04499988780557486,2.901136799789717e-12
17.0,0.9377856717495523,0.14123427833132632,6.639929646183831,4.60234347527128e-13,7.790451370903903e-14,-0.04239592229126931,-1.5061876747759638e-13
18.0,0.929252878927533,0.15798759146045258,5.881809263230293,4.330109732679225e-13,7.06970767108993e-14,-0.04531868583122149,-1.593611025632646e-13
19.0,0.8978323881975144,0.17305580690717592,5.188108993528867,4.376832532732354e-14,4.452850457143597e-15,-0.048514415266523184,-3.658653859575244e-15
20.0,0.9141155341116464,0.18714211299198635,4.884606246541578,6.288327204024418e-14,1.1537660208612158e-14,-0.05463843700420495,-5.352802767445144e-15
21.0,0.883385838514136,0.20327322668700848,4.345805165351836,-3.884312682040138e-14,-4.9194923958184725e-15,-0.056474118481965076,5.423210559074131e-14
22.0,0.8953181210706974,0.21777917721511594,4.1111282195098395,-4.332477823108305e-14,-2.5480131254628164e-15,-0.06167849837906085,5.3708676537836136e-14
23.0,0.8863293471368086,0.23130493165237268,3.8318653251581756,-4.356319821986124e-14,-3.474301488740725e-15,-0.06556653185273303,5.985855640864394e-14
24.0,0.8747907386141915,0.24955638313032813,3.5053831428440825,-4.608755039834369e-14,-2.8743332818730265e-15,-0.06696570678150662,6.120869062451014e-14
